,Loss_State_Space
0,[644.7357177734375]
1,[426.2721252441406]
2,[356.11614990234375]
3,[352.3613586425781]
4,[362.8072204589844]
5,[444.8668518066406]
6,[253.95892333984375]
7,[347.9217224121094]
8,[293.6182556152344]
9,[545.0697021484375]
10,[215.73388671875]
11,[360.2396240234375]
12,[425.130615234375]
13,[632.6358032226562]
14,[512.8858032226562]
15,[104.37654876708984]
16,[595.470458984375]
17,[496.1800537109375]
18,[679.2288818359375]
19,[284.7639465332031]
20,[749.7597045898438]
21,[348.0694885253906]
22,[219.12258911132812]
23,[408.9106140136719]
24,[142.82888793945312]
25,[202.47152709960938]
26,[292.6691589355469]
27,[389.99664306640625]
28,[420.4018249511719]
29,[374.0262756347656]
30,[396.65802001953125]
31,[157.54934692382812]
32,[212.80288696289062]
33,[272.6160888671875]
34,[265.65521240234375]
35,[215.27487182617188]
36,[544.7891845703125]
37,[180.450439453125]
38,[170.0580291748047]
39,[299.6181945800781]
40,[95.5084228515625]
41,[205.94764709472656]
42,[136.47116088867188]
43,[361.8094482421875]
44,[495.57501220703125]
45,[193.48980712890625]
46,[288.8524169921875]
47,[368.6164855957031]
48,[420.4964294433594]
49,[532.6753540039062]
50,[180.10430908203125]
51,[373.8917236328125]
52,[223.60281372070312]
53,[376.112548828125]
54,[139.74591064453125]
55,[211.2389373779297]
56,[178.78529357910156]
57,[237.33444213867188]
58,[277.5885314941406]
59,[382.90264892578125]
60,[336.4996337890625]
61,[149.68704223632812]
62,[139.68734741210938]
63,[421.1029357910156]
64,[283.4733581542969]
65,[223.98789978027344]
66,[236.80581665039062]
67,[147.65011596679688]
68,[376.625732421875]
69,[383.5880126953125]
70,[170.75283813476562]
71,[160.99874877929688]
72,[105.6915283203125]
73,[344.0761413574219]
74,[286.7225341796875]
75,[354.00128173828125]
76,[362.44854736328125]
77,[223.29263305664062]
78,[187.61517333984375]
79,[252.2823028564453]
80,[339.2677001953125]
81,[370.6439514160156]
82,[316.4917907714844]
83,[282.72509765625]
84,[350.32080078125]
85,[253.53079223632812]
86,[545.1859130859375]
87,[145.72010803222656]
88,[392.1864929199219]
89,[355.7721252441406]
90,[194.26150512695312]
91,[79.60374450683594]
92,[117.49310302734375]
93,[495.1861267089844]
94,[190.00238037109375]
95,[461.7384338378906]
96,[271.65771484375]
97,[143.77232360839844]
98,[309.72412109375]
99,[245.87249755859375]
100,[81.69925689697266]
101,[173.40577697753906]
102,[318.60760498046875]
103,[269.09686279296875]
104,[232.38819885253906]
105,[365.34783935546875]
106,[182.72225952148438]
107,[321.51348876953125]
108,[311.876953125]
109,[104.02839660644531]
110,[201.90968322753906]
111,[316.6046447753906]
112,[157.25233459472656]
113,[72.2696533203125]
114,[339.7200927734375]
115,[195.50906372070312]
116,[169.93955993652344]
117,[264.83984375]
118,[68.02456665039062]
119,[236.23548889160156]
120,[342.08758544921875]
121,[122.01001739501953]
122,[62.253395080566406]
123,[254.09970092773438]
124,[250.73233032226562]
125,[455.72918701171875]
126,[166.36785888671875]
127,[313.3302001953125]
128,[219.83355712890625]
129,[256.75634765625]
130,[148.81809997558594]
131,[287.76422119140625]
132,[140.4981231689453]
133,[190.20382690429688]
134,[78.24127197265625]
135,[140.04006958007812]
136,[145.59506225585938]
137,[64.55010986328125]
138,[168.86593627929688]
